kernel,dtype,N,stride,misalign,tail,median_ms,p10_ms,p90_ms,gflops,gibps,cpe,label,hint,check,vecmode
mul,f32,32768,1,0,0,0.0032,0.0031,0.00376,10.24,114.440918,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f32,131072,1,0,0,0.0437,0.04312,0.04868,2.999359,33.520452,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f32,131072,1,0,0,0.027,0.02696,0.028,4.854519,54.253472,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f32,131072,1,0,0,0.0298,0.02588,0.03494,4.398389,49.155831,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f32,524288,1,0,0,0.3312,0.21012,0.42574,1.582995,17.69135,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f32,524288,1,0,0,0.1205,0.12002,0.12636,4.350938,48.625519,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f32,524288,1,0,0,0.1347,0.1292,0.14442,3.892264,43.499443,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f32,1048576,1,0,0,0.577,0.5328,0.8554,1.817289,20.309792,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f32,1048576,1,0,0,0.478,0.4427,0.48978,2.193674,24.516213,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f32,1048576,1,0,0,0.4493,0.43232,0.46032,2.333799,26.082239,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f32,2097152,1,0,0,1.359,1.17512,1.74812,1.543158,17.246137,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f32,2097152,1,0,0,1.1178,1.10162,1.50094,1.876142,20.967525,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f32,2097152,1,0,0,1.1016,1.09396,1.11516,1.903733,21.275871,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f32,8388608,1,0,0,5.0479,4.91978,5.61094,1.661802,18.572079,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f32,8388608,1,0,0,4.6535,4.6155,5.75142,1.802645,20.146127,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f32,8388608,1,0,0,5.2319,4.83264,5.64866,1.603358,17.91892,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f64,8192,1,0,0,0.0037,0.00366,0.00386,2.214054,49.487965,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f64,8192,1,0,0,0.0023,0.0023,0.00244,3.561739,79.611073,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f64,8192,1,0,0,0.0017,0.00166,0.00178,4.818824,107.709099,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f64,32768,1,0,0,0.0146,0.0145,0.01464,2.244384,50.165882,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f64,32768,1,0,0,0.0092,0.0092,0.00928,3.561739,79.611073,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f64,32768,1,0,0,0.0074,0.00724,0.00788,4.428108,98.975929,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f64,131072,1,0,0,0.0753,0.07252,0.07972,1.740664,38.906873,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f64,131072,1,0,0,0.0633,0.06316,0.06374,2.070648,46.282583,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f64,131072,1,0,0,0.0627,0.0582,0.0653,2.090463,46.725478,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f64,524288,1,0,0,0.5125,0.49042,0.55994,1.023001,22.865854,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f64,524288,1,0,0,0.4919,0.45312,0.51396,1.065843,23.82344,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f64,524288,1,0,0,0.497,0.48438,0.55558,1.054905,23.578974,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f64,1048576,1,0,0,1.1018,1.09288,1.19494,0.951694,21.272009,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f64,1048576,1,0,0,1.3593,1.29676,1.69932,0.771409,17.242331,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f64,1048576,1,0,0,1.1323,1.11544,1.5191,0.926058,20.69902,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f64,2097152,1,0,0,2.4217,2.35166,2.77234,0.865983,19.356237,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f64,2097152,1,0,0,2.5033,2.3305,3.07012,0.837755,18.725283,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f64,2097152,1,0,0,2.363,2.33168,2.85168,0.887496,19.837072,0.0,unit,mode:AVX2,isa:AVX2,AVX2
mul,f64,8388608,1,0,0,11.2816,10.84328,13.06402,0.743565,16.619983,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
mul,f64,8388608,1,0,0,9.8546,9.52946,10.63624,0.851238,19.026647,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
mul,f64,8388608,1,0,0,11.3719,10.80114,12.78056,0.737661,16.48801,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f32,8192,1,0,0,0.0054,0.0054,0.00566,7.583333,22.600094,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f32,8192,1,0,0,0.0014,0.0014,0.00154,29.25,87.171793,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f32,8192,1,0,0,0.0012,0.00116,0.00134,34.125,101.700425,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f32,32768,1,0,0,0.0217,0.02086,0.02534,7.54977,22.500067,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f32,32768,1,0,0,0.0063,0.0063,0.00638,26.004762,77.50023,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f32,32768,1,0,0,0.0047,0.00466,0.00488,34.857447,103.883287,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f32,131072,1,0,0,0.1177,0.10832,0.12806,5.567969,16.593842,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f32,131072,1,0,0,0.0338,0.03352,0.0343,19.389053,57.783882,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f32,131072,1,0,0,0.0137,0.0137,0.0138,47.835766,142.561693,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f32,524288,1,0,0,0.3144,0.3129,0.32,8.337882,24.848824,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f32,524288,1,0,0,0.1106,0.10916,0.11462,23.701899,70.637163,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f32,524288,1,0,0,0.0808,0.08076,0.08184,32.443441,96.688988,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f32,1048576,1,0,0,0.6646,0.65496,0.70118,7.88876,23.510337,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f32,1048576,1,0,0,0.3628,0.30536,0.55996,14.45113,43.067724,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f32,1048576,1,0,0,0.5176,0.41296,0.68904,10.129192,30.187346,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f32,2097152,1,0,0,1.4909,1.35216,1.93968,7.033168,20.960474,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f32,2097152,1,0,0,1.1786,0.92374,1.6464,8.896784,26.514483,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f32,2097152,1,0,0,0.8799,0.84038,1.02158,11.916979,35.515366,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f32,8388608,1,0,0,5.5763,5.5248,5.6594,7.52166,22.416292,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f32,8388608,1,0,0,4.0631,3.65848,4.99576,10.322914,30.76468,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f32,8388608,1,0,0,3.7803,3.63052,3.93782,11.095159,33.066151,0.0,unit,mode:AVX2,isa:AVX2,AVX2
stencil,f64,8192,1,0,0,0.005,0.0049,0.00504,8.19,48.816204,0.0,unit,mode:SCALAR,isa:SSE2+,SCALAR
stencil,f64,8192,1,0,0,0.0034,0.00326,0.004,12.044118,71.788535,0.0,unit,mode:AUTO,isa:SSE2+,AUTO
stencil,f64,8192,1,0,0,0.0021,0.002,0.00218,19.5,116.229057,0.0,unit,mode:AVX2,isa:AVX2,AVX2
